,id,reviewer_id,sample_id,smell,severity,review_timestamp,type,code_name,repository,commit_hash,path,start_line,end_line,link,is_from_industry_relevant_project
212,742,10,6299837,feature envy,major,40:51.0,function,org.eclipse.jetty.websocket.common.util.ReflectUtils.resolveGenericRef GenericRef|Class<?>|Type,git@github.com:eclipse/jetty.project.git,65528f76c5ef6ddca11385f9721c8f0bc5f2eed7,/jetty-websocket/websocket-common/src/main/java/org/eclipse/jetty/websocket/common/util/ReflectUtils.java,189,225,https://github.com/eclipse/jetty.project/blob/65528f76c5ef6ddca11385f9721c8f0bc5f2eed7/jetty-websocket/websocket-common/src/main/java/org/eclipse/jetty/websocket/common/util/ReflectUtils.java/#L189-L225,1.0
231,761,4,6329948,feature envy,major,07:50.5,function,org.eclipse.kapua.service.authorization.group.shiro.GroupServiceImpl#onKapuaEvent ServiceEvent,git@github.com:eclipse/kapua.git,11e610c657f7e473b52882833e33a2261bd3d67d,/service/security/shiro/src/main/java/org/eclipse/kapua/service/authorization/group/shiro/GroupServiceImpl.java,203,212,https://github.com/eclipse/kapua/blob/11e610c657f7e473b52882833e33a2261bd3d67d/service/security/shiro/src/main/java/org/eclipse/kapua/service/authorization/group/shiro/GroupServiceImpl.java/#L203-L212,1.0
239,769,12,6310723,feature envy,minor,09:41.4,function,org.eclipse.kura.core.ssl.ConnectionSslOptions#hashCode,git@github.com:eclipse/kura.git,5e9f3e3d03c8a9cc7857b3fb9080b256821bb32a,/kura/org.eclipse.kura.core/src/main/java/org/eclipse/kura/core/ssl/ConnectionSslOptions.java,107,120,https://github.com/eclipse/kura/blob/5e9f3e3d03c8a9cc7857b3fb9080b256821bb32a/kura/org.eclipse.kura.core/src/main/java/org/eclipse/kura/core/ssl/ConnectionSslOptions.java/#L107-L120,1.0
243,773,4,6341238,feature envy,minor,10:00.2,function,org.eclipse.lsp4j.adapters.VersionedTextDocumentIdentifierTypeAdapter#writeVersion JsonWriter|Integer,git@github.com:eclipse/lsp4j.git,513a1dd2236c6495e600f644182c16b3cf19dbb2,/org.eclipse.lsp4j/src/main/xtend-gen/org/eclipse/lsp4j/adapters/VersionedTextDocumentIdentifierTypeAdapter.java,40,49,https://github.com/eclipse/lsp4j/blob/513a1dd2236c6495e600f644182c16b3cf19dbb2/org.eclipse.lsp4j/src/main/xtend-gen/org/eclipse/lsp4j/adapters/VersionedTextDocumentIdentifierTypeAdapter.java/#L40-L49,0.5
256,786,11,6427864,feature envy,minor,10:59.2,function,org.eclipse.ui.internal.forms.widgets.FormUtil.scroll ScrolledComposite|int|int,git@github.com:eclipse/eclipse.platform.ui.git,e3bbb556534a1fb945e1036948325d14a8dd9c7a,/bundles/org.eclipse.ui.forms/src/org/eclipse/ui/internal/forms/widgets/FormUtil.java,404,414,https://github.com/eclipse/eclipse.platform.ui/blob/e3bbb556534a1fb945e1036948325d14a8dd9c7a/bundles/org.eclipse.ui.forms/src/org/eclipse/ui/internal/forms/widgets/FormUtil.java/#L404-L414,1.0
275,805,11,6442583,feature envy,major,12:15.0,function,org.eclipse.orion.server.cf.loggregator.LoggregatorMessage.Message.Builder#mergeFrom com.google.protobuf.CodedInputStream|com.google.protobuf.ExtensionRegistryLite,git@github.com:eclipse/orion.server.git,24624b85e0d543e8f3cea2bc30f3f589b37de4f0,/bundles/org.eclipse.orion.server.cf/src/org/eclipse/orion/server/cf/loggregator/LoggregatorMessage.java,651,716,https://github.com/eclipse/orion.server/blob/24624b85e0d543e8f3cea2bc30f3f589b37de4f0/bundles/org.eclipse.orion.server.cf/src/org/eclipse/orion/server/cf/loggregator/LoggregatorMessage.java/#L651-L716,1.0
300,830,11,6457764,feature envy,minor,15:06.2,function,org.eclipse.equinox.internal.jsp.jasper.Activator.getFragments Bundle,git@github.com:eclipse/packagedrone.git,3869c1643cdc6f7cb8b26097a7b6994683b13d7e,/bundles/org.eclipse.equinox.jsp.jasper/src/org/eclipse/equinox/internal/jsp/jasper/Activator.java,71,76,https://github.com/eclipse/packagedrone/blob/3869c1643cdc6f7cb8b26097a7b6994683b13d7e/bundles/org.eclipse.equinox.jsp.jasper/src/org/eclipse/equinox/internal/jsp/jasper/Activator.java/#L71-L76,1.0
305,835,5,6487817,feature envy,minor,15:17.2,function,com.ibm.j9ddr.vm29.types.U32#add UDATA,git@github.com:eclipse/openj9.git,4911084853eb75b20e037c434ad4521b7317ebfb,/debugtools/DDR_VM/src/com/ibm/j9ddr/vm29/types/U32.java,70,72,https://github.com/eclipse/openj9/blob/4911084853eb75b20e037c434ad4521b7317ebfb/debugtools/DDR_VM/src/com/ibm/j9ddr/vm29/types/U32.java/#L70-L72,1.0
342,874,11,6533221,feature envy,minor,17:51.1,function,org.eclipse.smarthome.automation.internal.core.provider.AutomationResourceBundlesTracker#initializeEvent Bundle,git@github.com:eclipse/smarthome.git,b8455de15d65512e8fac4e94d42de6ab2fccf1c5,/bundles/automation/org.eclipse.smarthome.automation.providers/src/main/java/org/eclipse/smarthome/automation/internal/core/provider/AutomationResourceBundlesTracker.java,278,287,https://github.com/eclipse/smarthome/blob/b8455de15d65512e8fac4e94d42de6ab2fccf1c5/bundles/automation/org.eclipse.smarthome.automation.providers/src/main/java/org/eclipse/smarthome/automation/internal/core/provider/AutomationResourceBundlesTracker.java/#L278-L287,1.0
347,879,11,6536605,feature envy,major,18:14.2,function,org.eclipse.smarthome.io.net.http.HttpUtil.executeUrl String|String|Properties|InputStream|String|int,git@github.com:eclipse/smarthome.git,b8455de15d65512e8fac4e94d42de6ab2fccf1c5,/bundles/io/org.eclipse.smarthome.io.net/src/main/java/org/eclipse/smarthome/io/net/http/HttpUtil.java,127,133,https://github.com/eclipse/smarthome/blob/b8455de15d65512e8fac4e94d42de6ab2fccf1c5/bundles/io/org.eclipse.smarthome.io.net/src/main/java/org/eclipse/smarthome/io/net/http/HttpUtil.java/#L127-L133,1.0
349,881,11,6547794,feature envy,minor,18:31.1,function,org.eclipse.ui.internal.Workbench#newWorkbenchWindow,git@github.com:eclipse/rap.git,6295da95d01da6669c91bd4b058db9b89f35abaf,/bundles/org.eclipse.rap.ui.workbench/Eclipse UI/org/eclipse/ui/internal/Workbench.java,1931,1935,https://github.com/eclipse/rap/blob/6295da95d01da6669c91bd4b058db9b89f35abaf/bundles/org.eclipse.rap.ui.workbench/Eclipse UI/org/eclipse/ui/internal/Workbench.java/#L1931-L1935,1.0
451,983,10,6564535,feature envy,minor,24:48.6,function,org.eclipse.ui.internal.dialogs.CustomizePerspectiveDialog#createMenuEntries Menu|DisplayItem|boolean,git@github.com:eclipse/rap.git,6295da95d01da6669c91bd4b058db9b89f35abaf,/bundles/org.eclipse.rap.ui.workbench/Eclipse UI/org/eclipse/ui/internal/dialogs/CustomizePerspectiveDialog.java,2900,3001,https://github.com/eclipse/rap/blob/6295da95d01da6669c91bd4b058db9b89f35abaf/bundles/org.eclipse.rap.ui.workbench/Eclipse UI/org/eclipse/ui/internal/dialogs/CustomizePerspectiveDialog.java/#L2900-L3001,1.0
455,987,11,6165484,feature envy,major,24:59.8,function,org.eclipse.che.ide.ui.smartTree.NodeStorage#hasMatchingKey Node|Node,git@github.com:eclipse/che.git,c5498c2ac562cd8a2fc79a6bb0446d291f05a201,/ide/che-core-ide-ui/src/main/java/org/eclipse/che/ide/ui/smartTree/NodeStorage.java,626,628,https://github.com/eclipse/che/blob/c5498c2ac562cd8a2fc79a6bb0446d291f05a201/ide/che-core-ide-ui/src/main/java/org/eclipse/che/ide/ui/smartTree/NodeStorage.java/#L626-L628,1.0
517,1047,11,6923170,feature envy,minor,28:19.6,function,com.google.googlejavaformat.Doc.Tok#computeBreaks CommentsHelper|int|State,git@github.com:google/google-java-format.git,df76e0c7fe82711c8600768fca19d0ebaf2ca3d2,/core/src/main/java/com/google/googlejavaformat/Doc.java,753,758,https://github.com/google/google-java-format/blob/df76e0c7fe82711c8600768fca19d0ebaf2ca3d2/core/src/main/java/com/google/googlejavaformat/Doc.java/#L753-L758,0.5
537,1067,17,7030257,feature envy,major,28:50.0,function,com.github.ambry.network.SocketServer.SocketServer NetworkConfig|SSLConfig|MetricRegistry|ArrayList<Port>,git@github.com:linkedin/ambry.git,1d2e455556058b83f5145740b7f2c5772fa37e1b,/ambry-network/src/main/java/com.github.ambry.network/SocketServer.java,67,82,https://github.com/linkedin/ambry/blob/1d2e455556058b83f5145740b7f2c5772fa37e1b/ambry-network/src/main/java/com.github.ambry.network/SocketServer.java/#L67-L82,1.0
659,1189,5,7205580,feature envy,minor,35:03.2,function,com.oracle.bmc.objectstorage.ObjectStorageClient#createPreauthenticatedRequest CreatePreauthenticatedRequestRequest,git@github.com:oracle/oci-java-sdk.git,76e9cecd7b309d9f12e5efe96c74167c66a98872,/bmc-objectstorage/bmc-objectstorage-generated/src/main/java/com/oracle/bmc/objectstorage/ObjectStorageClient.java,526,552,https://github.com/oracle/oci-java-sdk/blob/76e9cecd7b309d9f12e5efe96c74167c66a98872/bmc-objectstorage/bmc-objectstorage-generated/src/main/java/com/oracle/bmc/objectstorage/ObjectStorageClient.java/#L526-L552,1.0
665,1195,11,7404871,feature envy,minor,35:17.0,function,com.oracle.svm.core.genscavenge.GreyToBlackObjRefVisitor#visitObjectReference Pointer|boolean,git@github.com:oracle/graal.git,4deb681aaaa79c248115037fc8e399c9876619fd,/substratevm/src/com.oracle.svm.core.genscavenge/src/com/oracle/svm/core/genscavenge/GreyToBlackObjRefVisitor.java,61,64,https://github.com/oracle/graal/blob/4deb681aaaa79c248115037fc8e399c9876619fd/substratevm/src/com.oracle.svm.core.genscavenge/src/com/oracle/svm/core/genscavenge/GreyToBlackObjRefVisitor.java/#L61-L64,1.0
682,1212,17,7209681,feature envy,minor,37:29.5,function,oracle.kubernetes.operator.helpers.CallBuilder#deleteJobAsync String|String|V1DeleteOptions|ResponseStep<V1Status>,git@github.com:oracle/weblogic-kubernetes-operator.git,1fb059d7e32b9b3514617d54e4dda41ab68e71ea,/operator/src/main/java/oracle/kubernetes/operator/helpers/CallBuilder.java,991,998,https://github.com/oracle/weblogic-kubernetes-operator/blob/1fb059d7e32b9b3514617d54e4dda41ab68e71ea/operator/src/main/java/oracle/kubernetes/operator/helpers/CallBuilder.java/#L991-L998,1.0
707,1237,11,7278060,feature envy,minor,38:45.6,function,com.sap.olingo.jpa.processor.core.query.JPAExpandItemWrapper.JPAExpandItemWrapper ExpandItem|JPAEntityType,git@github.com:SAP/olingo-jpa-processor-v4.git,e61b432b876e60c093ba626a00432d4826893e10,/jpa/odata-jpa-processor/src/main/java/com/sap/olingo/jpa/processor/core/query/JPAExpandItemWrapper.java,47,51,https://github.com/SAP/olingo-jpa-processor-v4/blob/e61b432b876e60c093ba626a00432d4826893e10/jpa/odata-jpa-processor/src/main/java/com/sap/olingo/jpa/processor/core/query/JPAExpandItemWrapper.java/#L47-L51,0.5
797,1327,12,6839966,feature envy,major,44:19.0,function,com.google.caja.lexer.ExternalReference#hashCode,git@github.com:google/caja.git,964609d5ec3272e4060cfb990bf263f6e5c56e22,/src/com/google/caja/lexer/ExternalReference.java,84,87,https://github.com/google/caja/blob/964609d5ec3272e4060cfb990bf263f6e5c56e22/src/com/google/caja/lexer/ExternalReference.java/#L84-L87,0.5
807,1337,1,6790483,feature envy,major,45:19.2,function,com.google.caliper.runner.target.LocalDevice#vmExecutablePath Vm,git@github.com:google/caliper.git,4e10eb02b7bfb5683c71be950ad2e30ff1f2c0a9,/caliper-runner/src/main/java/com/google/caliper/runner/target/LocalDevice.java,105,120,https://github.com/google/caliper/blob/4e10eb02b7bfb5683c71be950ad2e30ff1f2c0a9/caliper-runner/src/main/java/com/google/caliper/runner/target/LocalDevice.java/#L105-L120,0.5
977,1509,12,7588699,feature envy,critical,55:18.7,function,org.springframework.context.annotation.ConfigurationClassBeanDefinitionReader.ConfigurationClassBeanDefinition#getFactoryMethodMetadata,git@github.com:spring-projects/spring-framework.git,3a0f309e2c9fdbbf7fb2d348be861528177f8555,/spring-context/src/main/java/org/springframework/context/annotation/ConfigurationClassBeanDefinitionReader.java,426,430,https://github.com/spring-projects/spring-framework/blob/3a0f309e2c9fdbbf7fb2d348be861528177f8555/spring-context/src/main/java/org/springframework/context/annotation/ConfigurationClassBeanDefinitionReader.java/#L426-L430,1.0
1002,1534,10,7628757,feature envy,minor,57:05.9,function,org.springframework.ide.eclipse.webflow.ui.graph.WebflowEditor#formatElement IProgressMonitor,git@github.com:spring-projects/spring-ide.git,915fe9bffd50db45ee0b8fb993416e45dee68179,/plugins/org.springframework.ide.eclipse.webflow.ui.graph/src/org/springframework/ide/eclipse/webflow/ui/graph/WebflowEditor.java,578,587,https://github.com/spring-projects/spring-ide/blob/915fe9bffd50db45ee0b8fb993416e45dee68179/plugins/org.springframework.ide.eclipse.webflow.ui.graph/src/org/springframework/ide/eclipse/webflow/ui/graph/WebflowEditor.java/#L578-L587,1.0
1010,1542,12,7671918,feature envy,major,57:38.8,function,com.qmuiteam.qmui.widget.QMUITopBarLayout#addRightImageButton int|int,git@github.com:Tencent/QMUI_Android.git,6ff5493a05845918c126cce8a3e639f8d996481b,/qmui/src/main/java/com/qmuiteam/qmui/widget/QMUITopBarLayout.java,136,138,https://github.com/Tencent/QMUI_Android/blob/6ff5493a05845918c126cce8a3e639f8d996481b/qmui/src/main/java/com/qmuiteam/qmui/widget/QMUITopBarLayout.java/#L136-L138,0.0
1076,1610,12,7759750,feature envy,minor,04:30.9,function,org.apache.druid.data.input.impl.TimeAndDimsParseSpec#withTimestampSpec TimestampSpec,git@github.com:apache/incubator-druid.git,8ca7cb4886dcaeeaaea3a06aceb9e6d50eeecab5,/core/src/main/java/org/apache/druid/data/input/impl/TimeAndDimsParseSpec.java,70,74,https://github.com/apache/incubator-druid/blob/8ca7cb4886dcaeeaaea3a06aceb9e6d50eeecab5/core/src/main/java/org/apache/druid/data/input/impl/TimeAndDimsParseSpec.java/#L70-L74,1.0
1084,1618,10,7760290,feature envy,minor,04:45.6,function,org.apache.druid.utils.CompressionUtils.gzip ByteSource|ByteSink|Predicate<Throwable>,git@github.com:apache/incubator-druid.git,8ca7cb4886dcaeeaaea3a06aceb9e6d50eeecab5,/core/src/main/java/org/apache/druid/utils/CompressionUtils.java,491,506,https://github.com/apache/incubator-druid/blob/8ca7cb4886dcaeeaaea3a06aceb9e6d50eeecab5/core/src/main/java/org/apache/druid/utils/CompressionUtils.java/#L491-L506,1.0
1130,1664,4,7777067,feature envy,major,09:01.0,function,org.apache.druid.segment.virtual.ExpressionSelectors.supplierFromDimensionSelector DimensionSelector,git@github.com:apache/incubator-druid.git,8ca7cb4886dcaeeaaea3a06aceb9e6d50eeecab5,/processing/src/main/java/org/apache/druid/segment/virtual/ExpressionSelectors.java,311,327,https://github.com/apache/incubator-druid/blob/8ca7cb4886dcaeeaaea3a06aceb9e6d50eeecab5/processing/src/main/java/org/apache/druid/segment/virtual/ExpressionSelectors.java/#L311-L327,1.0
1215,1749,10,8050493,feature envy,minor,16:05.8,function,org.eclipse.titan.regressiontests.designer.statictests.Basic_tests.AST_Syntax_warning_tests#namingConvention_ttcn,git@github.com:eclipse/titan.EclipsePlug-ins.git,92bae808bfd4757c9a2f7cc0e59cd17ad801394c,/org.eclipse.titan.regressiontests/src/org/eclipse/titan/regressiontests/designer/statictests/Basic_tests/AST_Syntax_warning_tests.java,26,29,https://github.com/eclipse/titan.EclipsePlug-ins/blob/92bae808bfd4757c9a2f7cc0e59cd17ad801394c/org.eclipse.titan.regressiontests/src/org/eclipse/titan/regressiontests/designer/statictests/Basic_tests/AST_Syntax_warning_tests.java/#L26-L29,1.0
1226,1760,4,8049607,feature envy,minor,17:05.5,function,org.eclipse.titan.designer.AST.TTCN3.templates.Referenced_Template.Referenced_Template CompilationTimeStamp|SpecificValue_Template,git@github.com:eclipse/titan.EclipsePlug-ins.git,92bae808bfd4757c9a2f7cc0e59cd17ad801394c,/org.eclipse.titan.designer/src/org/eclipse/titan/designer/AST/TTCN3/templates/Referenced_Template.java,79,100,https://github.com/eclipse/titan.EclipsePlug-ins/blob/92bae808bfd4757c9a2f7cc0e59cd17ad801394c/org.eclipse.titan.designer/src/org/eclipse/titan/designer/AST/TTCN3/templates/Referenced_Template.java/#L79-L100,1.0
1273,1807,10,8226389,feature envy,major,21:37.9,function,org.eclipse.xtext.parser.assignments.idea.highlighting.AssignmentsTestLanguageBaseColorSettingsPage#getDisplayName,git@github.com:eclipse/xtext-idea.git,3aa1424ae35f1942dd7c3a457057006f9131de5e,/org.eclipse.xtext.core.idea.tests/src-gen/org/eclipse/xtext/parser/assignments/idea/highlighting/AssignmentsTestLanguageBaseColorSettingsPage.java,13,16,https://github.com/eclipse/xtext-idea/blob/3aa1424ae35f1942dd7c3a457057006f9131de5e/org.eclipse.xtext.core.idea.tests/src-gen/org/eclipse/xtext/parser/assignments/idea/highlighting/AssignmentsTestLanguageBaseColorSettingsPage.java/#L13-L16,0.0
1396,1930,16,3856345,feature envy,major,22:00.9,function,org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorWriter.printAllExcludes ModuleDescriptor|PrintWriter,git@github.com:apache/ant-ivy.git,4ffcf8f06f238b17e78e8033c3e8278833e452eb,/src/java/org/apache/ivy/plugins/parser/xml/XmlModuleDescriptorWriter.java,209,227,https://github.com/apache/ant-ivy/blob/4ffcf8f06f238b17e78e8033c3e8278833e452eb/src/java/org/apache/ivy/plugins/parser/xml/XmlModuleDescriptorWriter.java/#L209-L227,1.0
1398,1932,16,3856911,feature envy,minor,24:56.3,function,org.apache.ambari.server.api.query.render.AlertSummaryRenderer#addRequiredAlertProperties Set<String>,git@github.com:apache/ambari.git,2bc4779a1e6aabe638101fc8b0e28cd1963d6b13,/ambari-server/src/main/java/org/apache/ambari/server/api/query/render/AlertSummaryRenderer.java,205,209,https://github.com/apache/ambari/blob/2bc4779a1e6aabe638101fc8b0e28cd1963d6b13/ambari-server/src/main/java/org/apache/ambari/server/api/query/render/AlertSummaryRenderer.java/#L205-L209,1.0
1405,1939,16,3868110,feature envy,minor,30:20.2,function,org.apache.accumulo.shell.Shell.repeat String|int,git@github.com:apache/accumulo.git,f896c98c2356a52dfa2235d2cc02ae556ab17909,/shell/src/main/java/org/apache/accumulo/shell/Shell.java,1075,1080,https://github.com/apache/accumulo/blob/f896c98c2356a52dfa2235d2cc02ae556ab17909/shell/src/main/java/org/apache/accumulo/shell/Shell.java/#L1075-L1080,1.0
1418,1952,16,3877056,feature envy,major,02:23.7,function,org.apache.accumulo.server.util.ListVolumesUsed.listZookeeper ServerContext,git@github.com:apache/accumulo.git,f896c98c2356a52dfa2235d2cc02ae556ab17909,/server/base/src/main/java/org/apache/accumulo/server/util/ListVolumesUsed.java,61,75,https://github.com/apache/accumulo/blob/f896c98c2356a52dfa2235d2cc02ae556ab17909/server/base/src/main/java/org/apache/accumulo/server/util/ListVolumesUsed.java/#L61-L75,1.0
1427,1961,16,3879070,feature envy,minor,07:25.2,function,org.apache.accumulo.core.clientImpl.thrift.ClientService.getNamespaceConfiguration_args.scheme org.apache.thrift.protocol.TProtocol,git@github.com:apache/accumulo.git,f896c98c2356a52dfa2235d2cc02ae556ab17909,/core/src/main/java/org/apache/accumulo/core/clientImpl/thrift/ClientService.java,33559,33561,https://github.com/apache/accumulo/blob/f896c98c2356a52dfa2235d2cc02ae556ab17909/core/src/main/java/org/apache/accumulo/core/clientImpl/thrift/ClientService.java/#L33559-L33561,1.0
1434,1968,16,3904736,feature envy,minor,11:43.7,function,org.apache.tools.ant.ArgumentProcessorRegistry#getProcessor Class<? extends ArgumentProcessor>,git@github.com:apache/ant.git,9722f062dc68d6c321faf751621162ac8444c585,/src/main/org/apache/tools/ant/ArgumentProcessorRegistry.java,121,133,https://github.com/apache/ant/blob/9722f062dc68d6c321faf751621162ac8444c585/src/main/org/apache/tools/ant/ArgumentProcessorRegistry.java/#L121-L133,1.0
1460,1994,3,3922485,feature envy,minor,45:52.5,function,org.apache.aries.rsa.provider.fastbin.tcp.TcpTransport#connected SocketChannel,git@github.com:apache/aries-rsa.git,f5aa5ca62c3948d7e471c3a839089180650cf4f2,/provider/fastbin/src/main/java/org/apache/aries/rsa/provider/fastbin/tcp/TcpTransport.java,150,163,https://github.com/apache/aries-rsa/blob/f5aa5ca62c3948d7e471c3a839089180650cf4f2/provider/fastbin/src/main/java/org/apache/aries/rsa/provider/fastbin/tcp/TcpTransport.java/#L150-L163,1.0
1469,2003,3,3927368,feature envy,minor,49:33.3,function,org.apache.accumulo.proxy.thrift.AccumuloProxy.cancelCompaction_args.cancelCompaction_argsTupleScheme#read org.apache.thrift.protocol.TProtocol|cancelCompaction_args,git@github.com:apache/accumulo.git,f896c98c2356a52dfa2235d2cc02ae556ab17909,/proxy/src/main/java/org/apache/accumulo/proxy/thrift/AccumuloProxy.java,28634,28646,https://github.com/apache/accumulo/blob/f896c98c2356a52dfa2235d2cc02ae556ab17909/proxy/src/main/java/org/apache/accumulo/proxy/thrift/AccumuloProxy.java/#L28634-L28646,1.0
1662,2196,3,8922371,feature envy,major,24:06.4,function,org.apache.hadoop.hive.metastore.api.WMTrigger.WMTriggerStandardScheme#read org.apache.thrift.protocol.TProtocol|WMTrigger,git@github.com:apache/hive.git,2fa22bf360898dc8fd1408bfcc96e1c6aeaf9a53,/standalone-metastore/metastore-common/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/metastore/api/WMTrigger.java,733,798,https://github.com/apache/hive/blob/2fa22bf360898dc8fd1408bfcc96e1c6aeaf9a53/standalone-metastore/metastore-common/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/metastore/api/WMTrigger.java/#L733-L798,1.0
1704,2238,3,9000671,feature envy,major,55:33.3,function,org.apache.lucene.codecs.blocktreeords.OrdsSegmentTermsEnum#pushFrame FST.Arc<Output>|long|int|long,git@github.com:apache/lucene-solr.git,bca22d58e2d126ec6d349d375d3ea028892104e1,/lucene/codecs/src/java/org/apache/lucene/codecs/blocktreeords/OrdsSegmentTermsEnum.java,174,208,https://github.com/apache/lucene-solr/blob/bca22d58e2d126ec6d349d375d3ea028892104e1/lucene/codecs/src/java/org/apache/lucene/codecs/blocktreeords/OrdsSegmentTermsEnum.java/#L174-L208,1.0
